descricao_transacao,valor_transacao,categoria
Débito - Extra (uso pessoal),385.6,Alimentação
Pagamento - Starbucks (unidade próxima),454.91,Alimentação
Serviço prestado - Oficina Mecânica Silva,235.42,Transporte
Salário mensal - Farmacêutico,7331.79,Receitas
PLR - Participação nos Lucros,2165.18,Receitas
Débito - BTG Pactual - Aporte (loja shopping),384.04,Investimentos
Pagamento de conta - Comgás,1873.16,Moradia
13º salário - primeira parcela,10645.11,Receitas
Transação - Enel (loja shopping),2226.4,Moradia
Transação - Coffee Lab (uso pessoal),364.68,Alimentação
13º salário - segunda parcela,1018.65,Receitas
Débito automático - HBO Max,31.88,Lazer
Compra online - CDB Banco Inter (unidade próxima),2277.08,Investimentos
Pagamento - IPVA (unidade centro),550.29,Impostos
Compra em IPTU (unidade centro),4174.62,Impostos
Depósito de salário,7644.05,Receitas
Serviço prestado - 99 (unidade próxima),15.89,Transporte
Compra em Amazon (uso pessoal),1742.22,Compras
Pagamento de conta - Padaria e Confeitaria Doce Vida (unidade próxima),715.4,Alimentação
Compra online - QuintoAndar - Aluguel (compra à vista),2190.93,Moradia
Salário mensal - Farmacêutico,7717.49,Receitas
Pagamento de conta - Pão de Açúcar (loja shopping),102.2,Alimentação
Mensalidade - SulAmérica Seguros (fatura do mês),457.65,Serviços
Serviço prestado - Correios (compra do mês),497.16,Serviços
Consumo em BTG Pactual - Aporte (loja shopping),3101.52,Investimentos
Pagamento de fatura - Casas Bahia,938.31,Compras
Venda de produto usado,916.51,Receitas
Depósito de salário,7468.13,Receitas
Despesa - Clínica Odontológica Sorriso (unidade centro),794.95,Saúde
Serviço prestado - Bar do Zé (unidade centro),194.0,Lazer
Renovação de assinatura - Porto Seguro (renovação do plano),207.06,Serviços
13º salário - primeira parcela,10103.45,Receitas
Débito automático - Universidade UNIP (plano mensal),2301.99,Educação
Despesa - Casas Bahia,1242.46,Compras
Pagamento de conta - Restaurante Prato Feito (unidade próxima),882.12,Alimentação
Transação - 99 (unidade próxima),81.21,Transporte
Assinatura mensal - Claro (fatura do mês),73.52,Serviços
Despesa - Casas Bahia (unidade centro),65.82,Compras
Serviço prestado - Kabum (uso pessoal),313.98,Compras
Consumo em Oficina Mecânica Silva (unidade próxima),443.26,Transporte
Depósito de salário,7461.3,Receitas
Débito automático - HBO Max (plano mensal),30.07,Lazer
Débito - Livraria Cultura (uso pessoal),2427.88,Educação
Transação - Americanas (loja shopping),1690.9,Compras
Depósito de salário,7293.98,Receitas
Compra online - Presente Aniversário (compra à vista),588.28,Outros
Pagamento de conta - Enel (compra à vista),4376.45,Moradia
Compra online - Clínica Vida Saudável (via cartão),1543.37,Saúde
Débito - Enel (loja shopping),1070.56,Moradia
Débito automático - Porto Seguro (via cartão cadastrado),492.07,Serviços
Recebimento de dividendos,4219.42,Receitas
Venda de produto usado,2792.94,Receitas
Serviço prestado - iFood,229.22,Alimentação
Despesa - Oficina Mecânica Silva (unidade próxima),239.2,Transporte
Pagamento de conta - C&A (compra do mês),80.69,Compras
Pagamento de fatura - Embasa (via cartão),2669.64,Moradia
Compra online - Cinemark (uso pessoal),388.72,Lazer
Transação - Hospital Santa Casa (pedido via app),913.27,Saúde
Pagamento - Sushi House (unidade centro),894.63,Alimentação
Pagamento de conta - Sabesp,992.28,Moradia
Salário mensal - Veterinário,7451.71,Receitas
Transação - Condomínio Edifício Bela Vista (loja shopping),3676.41,Moradia
Débito automático - Netflix (fatura do mês),44.92,Lazer
Compra em Correios (compra do mês),462.73,Serviços
Renovação de assinatura - Netflix (fatura do mês),47.32,Lazer
Compra em Correios (loja shopping),38.98,Serviços
Débito - Centauro (unidade centro),1249.76,Compras
Assinatura mensal - TIM (cobrança automática),122.9,Serviços
Consumo em Telhanorte (compra à vista),4348.64,Moradia
Pagamento de fatura - Barbearia Vintage (compra à vista),309.21,Serviços
Consumo em Zona Azul (compra do mês),347.19,Transporte
Cobrança recorrente - TIM (fatura do mês),116.22,Serviços
Rendimento de investimento - Tesouro Direto,658.19,Receitas
Compra em Estacionamento Multipark (via cartão),264.71,Transporte
Consumo em AliExpress (compra do mês),1925.58,Compras
Pagamento - Starbucks (pedido via app),850.43,Alimentação
Débito - Taxa de Condomínio (compra à vista),1856.53,Moradia
Serviço prestado - Borracharia Central (via cartão),75.95,Transporte
Bônus anual da empresa,7496.49,Receitas
Pagamento de fatura - Fundo Imobiliário - Aporte (compra à vista),3134.33,Investimentos
Pagamento - Correios (via cartão),209.16,Serviços
Compra online - XP Investimentos - Aporte (loja shopping),3558.78,Investimentos
Consumo em Uber (compra à vista),19.31,Transporte
Débito - Açougue Central,145.63,Alimentação
Pagamento de fatura - VLT,306.51,Transporte
Salário mensal - Veterinário,6051.19,Receitas
Pagamento de salário - Julho,5748.92,Receitas
Compra em IPTU (unidade próxima),1221.23,Impostos
Consumo em InDriver (loja shopping),76.11,Transporte
Despesa - Padaria Pão Quente (pedido via app),372.11,Alimentação
Débito - C&A (unidade próxima),1014.28,Compras
Consumo em Borracharia Central (via cartão),372.65,Transporte
Pagamento - Salão de Beleza Charme (compra à vista),234.12,Serviços
Serviço prestado - UCI Cinemas (compra à vista),1409.13,Lazer
Assinatura mensal - SulAmérica Seguros (cobrança automática),209.4,Serviços
Pagamento de fatura - Estacionamento Multipark (unidade centro),167.19,Transporte
Pagamento - Studio de Manicure Nail Art (compra à vista),424.48,Serviços
Compra em Mercado Livre (unidade próxima),1794.98,Compras
Pagamento de conta - CDB Banco Inter (compra do mês),2394.57,Investimentos
Despesa - Padaria Estrela (uso pessoal),835.55,Alimentação
Débito - Riachuelo (unidade centro),1402.34,Compras
Compra online - BTG Pactual - Aporte (compra à vista),3791.32,Investimentos
Compra online - Doação ONG (pedido via app),149.27,Outros
Compra online - Padaria Pão Quente (pedido via app),185.37,Alimentação
Pagamento de fatura - Fast Shop (unidade próxima),34.25,Compras
Despesa - Clínica Odontológica Sorriso (loja shopping),1217.67,Saúde
Rendimento de fundo de investimento,3574.21,Receitas
Débito - Padaria Pão Quente,64.46,Alimentação
Renovação de assinatura - Spotify (cobrança automática),26.65,Lazer
Consumo em Ultragaz (compra à vista),5734.68,Moradia
Compra em Petz (unidade centro),188.03,Pets
Restituição - Receita Federal,4716.09,Receitas
Mensalidade - Vivo (renovação do plano),55.29,Serviços
Despesa - Ipiranga (pedido via app),223.49,Transporte
Compra em Posto BR Mania (via cartão),204.6,Transporte
Renovação de assinatura - Bio Ritmo (cobrança automática),215.75,Saúde
Cobrança recorrente - SulAmérica Seguros (plano mensal),318.47,Serviços
Transação - CPFL Energia (uso pessoal),5395.63,Moradia
Consumo em Correios (via cartão),74.33,Serviços
Despesa - Hospital São Lucas,830.07,Saúde
Transação - Casas Bahia (via cartão),970.64,Compras
Consumo em Mercado Livre (via cartão),559.29,Compras
Recebimento de freelance,6841.85,Receitas
Transação - Padaria Estrela (loja shopping),611.29,Alimentação
Despesa - Padaria e Confeitaria Doce Vida (uso pessoal),603.19,Alimentação
Depósito de salário,5720.08,Receitas
Consumo em Pub Cervejaria Artesanal (uso pessoal),771.18,Lazer
Despesa - Subway (unidade centro),483.17,Alimentação
Pagamento por serviço prestado (freelance),2245.6,Receitas
Transação - Amazon (uso pessoal),972.73,Compras
Compra online - Shell (via cartão),397.76,Transporte
Débito - Condomínio Edifício Bela Vista (via cartão),3078.3,Moradia
Pagamento de salário - Maio,6128.5,Receitas
Compra online - Claro Residencial (loja shopping),4678.23,Moradia
Assinatura mensal - SulAmérica Seguros,369.34,Serviços
Serviço prestado - Amazon (unidade próxima),1706.82,Compras
Compra online - Leroy Merlin (uso pessoal),726.86,Moradia
PIX - recebimento,1595.0,Receitas
Débito - Hospital Santa Casa (pedido via app),746.67,Saúde
Débito - XP Investimentos - Aporte (compra do mês),96.42,Investimentos
Serviço prestado - 99 (uso pessoal),48.87,Transporte
Transação - Churrascaria Boi na Brasa (uso pessoal),331.16,Alimentação
Débito - Renner (via cartão),306.45,Compras
Pagamento de fatura - Sabesp (uso pessoal),4606.73,Moradia
Pagamento de conta - Taxa Municipal,2381.64,Impostos
Renovação de assinatura - Bluefit (cobrança automática),188.33,Saúde
Débito - Condomínio Edifício Bela Vista (unidade próxima),5742.26,Moradia
Débito - Padaria e Confeitaria Doce Vida (compra à vista),246.56,Alimentação
Consumo em Big Bompreço (compra do mês),244.9,Alimentação
Pagamento - Big Bompreço (unidade centro),288.25,Alimentação
Pagamento de salário - Novembro,5271.74,Receitas
Despesa - Renner (unidade próxima),526.76,Compras
Despesa - Amazon (loja shopping),1146.18,Compras
Consumo em Salão de Beleza Charme (unidade centro),313.34,Serviços
Pagamento de conta - Padaria Pão Quente (unidade centro),112.77,Alimentação
Renovação de assinatura - Faculdade Anhanguera (via cartão cadastrado),783.13,Educação
Compra online - IPVA (pedido via app),2582.5,Impostos
Transação - Aluguel Residencial (compra do mês),4842.16,Moradia
Consumo em Metrô (compra do mês),121.79,Transporte
Rendimento de investimento - Tesouro Direto,2051.09,Receitas
Consumo em Despachante Rápido (compra à vista),340.3,Outros
Transação - Mercadinho Bom Preço (loja shopping),850.08,Alimentação
Consumo em Cafeteria do Bairro (loja shopping),618.45,Alimentação
PIX recebido de terceiro,2264.7,Receitas
Consumo em Oficina Mecânica Silva,245.91,Transporte
Débito - Coffee Lab (via cartão),308.77,Alimentação
Depósito de salário,5645.61,Receitas
Pagamento de fatura - AliExpress (loja shopping),1383.47,Compras
Pagamento de décimo terceiro salário,10958.11,Receitas
Depósito de salário,5647.49,Receitas
Assinatura mensal - HBO Max,32.92,Lazer
13º salário - segunda parcela,11094.31,Receitas
Despesa - Tesouro Direto - Aplicação (pedido via app),4013.58,Investimentos
Débito - Leroy Merlin,4731.7,Moradia
Depósito de salário,5501.61,Receitas
Compra em Enel (compra à vista),5646.82,Moradia
Assinatura mensal - Faculdade Anhanguera (via cartão cadastrado),1340.6,Educação
Pagamento de conta - Estacionamento Multipark (uso pessoal),47.01,Transporte
Depósito de salário,5487.15,Receitas
Rendimento de investimento - Tesouro Direto,840.3,Receitas
Débito - Padaria Estrela (via cartão),620.18,Alimentação
Compra em Riachuelo (unidade centro),1567.54,Compras
Serviço prestado - Posto Ale (uso pessoal),223.75,Transporte
Pagamento - Açougue Central (uso pessoal),374.52,Alimentação
Pagamento - Coursera (uso pessoal),1272.77,Educação
Pagamento - Clínica Veterinária Vida Animal (unidade centro),103.02,Pets
Pagamento - Fast Shop (compra do mês),1202.48,Compras
Cobrança recorrente - Vivo (via cartão cadastrado),145.22,Serviços
Despesa - Restaurante Self-Service (uso pessoal),495.24,Alimentação
Transação - Riachuelo (pedido via app),696.22,Compras
PIX recebido de terceiro,1578.59,Receitas
Assinatura mensal - SulAmérica Saúde (via cartão cadastrado),773.67,Saúde
Compra em IPVA (pedido via app),4072.98,Impostos
Consumo em Drogasil (via cartão),1084.6,Saúde
Transação - Livraria Cultura (compra do mês),743.23,Educação
Serviço prestado - Taxa Municipal,4618.51,Impostos
Pagamento - Magazine Luiza,1147.49,Compras
Pagamento de conta - Estacionamento Multipark,209.44,Transporte
Renovação de assinatura - Colégio Anglo (fatura do mês),2009.45,Educação
Compra online - Kabum (compra à vista),189.13,Compras
Pagamento de salário - Novembro,8554.48,Receitas
Recebimento de dividendos,279.9,Receitas
Compra em C&A (compra à vista),500.89,Compras
Consumo em Cedae (unidade centro),2170.98,Moradia
Mensalidade - Porto Seguro (fatura do mês),445.27,Serviços
Depósito de salário,8484.93,Receitas
Débito - Imposto de Renda - DARF (pedido via app),1979.71,Impostos
Transação - Subway,196.63,Alimentação
Pagamento de conta - VLT (unidade centro),140.73,Transporte
Pagamento de conta - Pizzaria Forno a Lenha (unidade próxima),202.94,Alimentação
Pagamento de salário - Março,8443.27,Receitas
Serviço prestado - Boteco da Esquina (via cartão),381.88,Lazer
Débito - Kinoplex,1156.43,Lazer
Rendimento de investimento - Tesouro Direto,847.7,Receitas
Compra em Rico Investimentos - Aporte (pedido via app),3020.81,Investimentos
Cobrança recorrente - Bluefit,155.55,Saúde
Pagamento de conta - Correios (compra à vista),205.06,Serviços
Despesa - Riachuelo (compra do mês),1204.85,Compras
Salário mensal - Analista de TI,8894.29,Receitas
Compra online - NuInvest - Aporte,2645.83,Investimentos
Mensalidade - Microsoft 365 (via cartão cadastrado),248.9,Serviços
Recebimento de dividendos,852.23,Receitas
Despesa - Padaria Pão Quente (compra à vista),81.55,Alimentação
Pagamento de conta - Dia Supermercados (compra do mês),788.1,Alimentação
Pagamento de conta - Tesouro Direto - Aplicação,1141.51,Investimentos
Restituição de Imposto de Renda,526.46,Receitas
Depósito de salário,2680.81,Receitas
Assinatura mensal - SulAmérica Saúde (renovação do plano),709.72,Saúde
Débito - Padaria Pão Quente (compra do mês),290.58,Alimentação
Serviço prestado - Centauro (parcelado em 4x),1211.01,Compras
Assinatura mensal - SulAmérica Seguros (cobrança automática),90.23,Serviços
Pagamento de conta - Ingresso.com - Show (loja shopping),456.07,Lazer
Despesa - Oficina Mecânica Silva (uso pessoal),466.25,Transporte
Pagamento - Telhanorte,5640.13,Moradia
Compra online - Fundo Imobiliário - Aporte (unidade próxima),3498.49,Investimentos
Compra em Salão de Beleza Charme (pedido via app),93.32,Serviços
Débito - Cinemark,1189.46,Lazer
Pagamento de conta - Pub Cervejaria Artesanal,177.71,Lazer
Compra online - Açougue Central (compra à vista),491.58,Alimentação
Transação - UCI Cinemas (compra do mês),988.97,Lazer
Compra em Barbearia Vintage (unidade centro),273.23,Serviços
Depósito de salário,2640.64,Receitas
Pagamento de fatura - Borracharia Central (loja shopping),368.61,Transporte
Pagamento de salário - Dezembro,2758.88,Receitas
Mensalidade - Colégio Anglo (via cartão cadastrado),1065.26,Educação
Compra em Studio de Manicure Nail Art (unidade centro),386.89,Serviços
Consumo em Embasa (via cartão),720.68,Moradia
Transação - Neoenergia,4513.36,Moradia
Transação - Uber (compra do mês),59.82,Transporte
Cobrança recorrente - Colégio Anglo,594.62,Educação
Recebimento de aluguel de imóvel,808.84,Receitas
Assinatura mensal - SulAmérica Seguros (cobrança automática),365.67,Serviços
Recebimento de freelance,4633.11,Receitas
Serviço prestado - Cinemark (via cartão),1079.12,Lazer
Cobrança recorrente - Bradesco Seguros (renovação do plano),350.67,Serviços
Compra em Cafeteria do Bairro (unidade centro),341.47,Alimentação
Compra em Petrobras (uso pessoal),149.06,Transporte
Renovação de assinatura - Porto Seguro,375.11,Serviços
Renovação de assinatura - Bradesco Saúde (renovação do plano),603.51,Saúde
Consumo em Taxa Bancária (loja shopping),787.16,Outros
Consumo em Cafeteria do Bairro (compra à vista),881.37,Alimentação
Pagamento - Ipiranga (via cartão),234.65,Transporte
Débito - Telhanorte (loja shopping),3614.2,Moradia
Serviço prestado - Estacionamento Multipark (compra do mês),465.79,Transporte
PIX recebido de terceiro,1885.44,Receitas
Depósito de salário,2684.33,Receitas
Consumo em Padaria Pão Quente (uso pessoal),733.29,Alimentação
Compra em Centauro (pedido via app),1756.89,Compras
Freelance - projeto 1,321.48,Receitas
Pagamento de salário - Maio,2792.86,Receitas
Compra em Amazon (uso pessoal),264.62,Compras
Compra em Bob's (compra do mês),302.62,Alimentação
Compra online - Ultragaz (loja shopping),1079.32,Moradia
Transação - Cafeteria do Bairro (unidade centro),693.52,Alimentação
Compra online - Petrobras (unidade centro),381.97,Transporte
Restituição de Imposto de Renda,4493.97,Receitas
Despesa - NET Virtua (uso pessoal),4451.41,Moradia
Consumo em Condomínio Edifício Bela Vista,2337.82,Moradia
Pagamento de fatura - CPFL Energia (compra do mês),776.22,Moradia
Compra em Fundo Imobiliário - Aporte,3971.91,Investimentos
Serviço prestado - AliExpress (via cartão),521.67,Compras
Pagamento - Decolar.com (via cartão),229.56,Lazer
Depósito de salário,4377.53,Receitas
Transferência PIX recebida,2970.33,Receitas
Renovação de assinatura - Oi (plano mensal),80.75,Serviços
Pagamento de fatura - Fundo Imobiliário - Aporte (compra à vista),2721.75,Investimentos
Transação - UCI Cinemas (compra à vista),674.86,Lazer
Depósito de salário,4147.32,Receitas
Venda de produto usado,2353.02,Receitas
Pagamento - Decolar.com (compra do mês),1220.81,Lazer
Pagamento de conta - Metrô (compra à vista),130.64,Transporte
Compra em 99 (compra do mês),32.16,Transporte
Serviço prestado - Casas Bahia (uso pessoal),778.34,Compras
Compra em Oficina Mecânica Silva (compra do mês),151.42,Transporte
Transação - Fundo Imobiliário - Aporte (loja shopping),1118.16,Investimentos
Pagamento - Metrô (loja shopping),358.71,Transporte
Despesa - Clínica Médica Bem Estar (unidade centro),1486.85,Saúde
Compra em Taxa Municipal (compra do mês),4017.55,Impostos
Pagamento de fatura - Ônibus Urbano (loja shopping),67.15,Transporte
Despesa - Uber (loja shopping),38.85,Transporte
Mensalidade - Microsoft 365 (plano mensal),146.25,Serviços
Pagamento de conta - Estacionamento Multipark,121.38,Transporte
Assinatura mensal - Bio Ritmo (cobrança automática),152.71,Saúde
Depósito de salário,4258.48,Receitas
Débito - Starbucks (pedido via app),370.87,Alimentação
Compra em Shopee (via cartão),685.12,Compras
Cobrança recorrente - Google One (via cartão cadastrado),60.87,Serviços
Débito - Hospital Santa Casa,129.36,Saúde
Pagamento - Coffee Lab,686.9,Alimentação
Pagamento de salário - Dezembro,4367.17,Receitas
Débito - Sabesp (compra do mês),3381.34,Moradia
Pagamento - Taxa de Condomínio (compra à vista),3896.85,Moradia
Recebimento de dividendos,1212.51,Receitas
Pagamento de fatura - Bob's (unidade centro),293.16,Alimentação
Despesa - Fundo Imobiliário - Aporte (pedido via app),3839.12,Investimentos
Compra online - Cinemark (compra do mês),151.23,Lazer
Aluguel recebido - imóvel próprio,3214.13,Receitas
Cobrança recorrente - Unimed (renovação do plano),1032.61,Saúde
Compra em Condomínio Edifício Bela Vista (compra do mês),2838.63,Moradia
Pagamento - Hospital Veterinário Pet Care (unidade centro),56.32,Pets
Consumo em Leroy Merlin (via cartão),4052.4,Moradia
Pagamento de conta - Bilhete Único (compra do mês),389.03,Transporte
Dividendos - Ações B3,3949.34,Receitas
Compra online - Padaria Estrela (unidade próxima),292.21,Alimentação
Pagamento de salário - Abril,4105.11,Receitas
Compra em McDonald's (loja shopping),692.61,Alimentação
Compra em Cedae (pedido via app),2103.22,Moradia
Freelance - projeto 32,406.9,Receitas
Pagamento - Padaria e Confeitaria Doce Vida (compra do mês),393.28,Alimentação
Transação - C&C Casa e Construção (pedido via app),2399.56,Moradia
Recebimento de aluguel de imóvel,3834.0,Receitas
Salário mensal - Vendedor,4465.33,Receitas
Compra em Clínica Veterinária Vida Animal (compra à vista),33.3,Pets
Pagamento de conta - Aluguel Residencial (unidade centro),4338.41,Moradia
Despesa - Padaria Pão Quente (unidade próxima),273.31,Alimentação
Consumo em Starbucks (uso pessoal),664.18,Alimentação
Pagamento de conta - Correios (uso pessoal),216.94,Serviços
Serviço prestado - Casas Bahia (compra à vista),819.58,Compras
Consumo em Neoenergia (uso pessoal),3303.1,Moradia
Pagamento - Pizzaria Forno a Lenha (unidade centro),436.57,Alimentação
Mensalidade - HBO Max,33.67,Lazer
Transação - Açougue Boi Gordo (via cartão),813.24,Alimentação
Serviço prestado - Carrefour (unidade próxima),655.74,Alimentação
Pagamento de salário - Setembro,5745.37,Receitas
Despesa - Auto Center Roda Viva (unidade centro),326.79,Transporte
Depósito de salário,5382.03,Receitas
Serviço prestado - Açougue Casa da Carne (uso pessoal),491.32,Alimentação
Pagamento - Clínica Médica Bem Estar (unidade centro),1383.34,Saúde
Transação - Clínica Vida Saudável (uso pessoal),240.3,Saúde
Débito automático - Amil (fatura do mês),1060.65,Saúde
Pagamento de fatura - Decolar.com (unidade centro),1419.98,Lazer
Mensalidade - Netflix (fatura do mês),40.93,Lazer
Pagamento - Correios,396.08,Serviços
13º salário - segunda parcela,953.72,Receitas
Débito automático - Google One (plano mensal),345.09,Serviços
Débito - Oficina Mecânica Silva (via cartão),340.94,Transporte
Pagamento de fatura - Escola Municipal Monteiro Lobato (unidade próxima),371.18,Educação
Pagamento de conta - Rappi (loja shopping),420.56,Alimentação
Pagamento - Ônibus Urbano (compra do mês),444.96,Transporte
Transação - Magazine Luiza (parcelado em 3x),569.1,Compras
Restituição - Receita Federal,2228.9,Receitas
Restituição - Receita Federal,2673.03,Receitas
Consumo em Correios,182.43,Serviços
Pagamento - Oficina Mecânica Silva (unidade próxima),370.06,Transporte
Pagamento de salário - Fevereiro,5855.99,Receitas
Consumo em Imposto de Renda - DARF (compra do mês),2496.87,Impostos
Compra em Livraria Saraiva (compra à vista),827.37,Educação
Depósito de salário,5630.41,Receitas
Recebimento de aluguel de imóvel,4781.82,Receitas
Despesa - Clínica Vida Saudável (parcelado em 5x),1391.29,Saúde
Pagamento de fatura - Estacionamento Multipark (loja shopping),435.46,Transporte
Pagamento - C&A (via cartão),1870.54,Compras
Compra online - Aluguel Residencial (loja shopping),4366.85,Moradia
Compra em Shopee (compra à vista),1382.34,Compras
Aluguel recebido - imóvel próprio,2062.82,Receitas
Débito - Padaria Estrela (unidade próxima),448.96,Alimentação
Despesa - CPFL Energia (unidade próxima),97.72,Moradia
Pagamento - Zona Azul (unidade próxima),112.58,Transporte
Consumo em Hospital São Lucas (compra do mês),490.65,Saúde
PIX recebido de terceiro,1844.58,Receitas
Pagamento de salário - Julho,5691.12,Receitas
Pagamento de fatura - Restaurante Sabor Caseiro (loja shopping),696.2,Alimentação
Despesa - Oficina Mecânica Silva (unidade centro),429.64,Transporte
Recebimento de aluguel de imóvel,3742.95,Receitas
Despesa - Pão de Açúcar (uso pessoal),49.82,Alimentação
Pagamento - Mercado Livre (parcelado em 6x),275.47,Compras
Serviço prestado - Rappi (via cartão),118.05,Alimentação
Pagamento - Aluguel Residencial (compra à vista),2110.24,Moradia
Salário mensal - Professor,5803.75,Receitas
Renovação de assinatura - Universidade UNIP,2477.8,Educação
Freelance - projeto 88,6053.92,Receitas
Depósito de salário,5595.95,Receitas
Pagamento de salário - Outubro,5931.27,Receitas
Transação - Fast Shop (unidade próxima),409.22,Compras
Pagamento de salário - Outubro,5616.47,Receitas
Consumo em UCI Cinemas (loja shopping),1331.43,Lazer
Pagamento de fatura - Uber (compra do mês),45.83,Transporte
Despesa - Latam Viagens (pedido via app),1466.51,Lazer
Assinatura mensal - Google One (plano mensal),297.07,Serviços
Débito - Hospital São Lucas (pedido via app),891.38,Saúde
Débito - Ônibus Urbano (uso pessoal),381.52,Transporte
Compra online - Drogasil (pedido via app),1855.8,Saúde
Rendimento de investimento - CDB,289.59,Receitas
Restituição de Imposto de Renda,4662.34,Receitas
Pagamento de conta - Renner (parcelado em 3x),1661.19,Compras
Compra em Açougue Casa da Carne (pedido via app),390.62,Alimentação
Pagamento de fatura - Riachuelo (uso pessoal),1480.17,Compras
Compra online - Shopee (loja shopping),586.23,Compras
Transação - Açougue Casa da Carne (unidade próxima),788.12,Alimentação
Renovação de assinatura - Colégio Objetivo (via cartão cadastrado),642.08,Educação
Serviço prestado - Assaí (unidade centro),373.69,Alimentação
Pagamento de fatura - Imposto de Renda - DARF (compra à vista),4197.97,Impostos
Compra em Petshop Amigo Fiel (unidade centro),345.55,Pets
Débito automático - Microsoft 365 (renovação do plano),145.11,Serviços
Restituição - Receita Federal,4180.48,Receitas
Consumo em Taxa de Condomínio (compra do mês),2925.0,Moradia
Despesa - Comgás (unidade próxima),294.98,Moradia
Débito automático - SulAmérica Saúde,1771.6,Saúde
Despesa - Padaria Estrela (via cartão),247.47,Alimentação
Despesa - Uber Eats (via cartão),639.99,Alimentação
Salário mensal - Professor,5693.98,Receitas
Consumo em Telhanorte (unidade próxima),1383.8,Moradia
Transação - Shopee (unidade próxima),1995.15,Compras
Pagamento de fatura - Oi Fibra (unidade próxima),5147.36,Moradia
Recebimento por venda,352.87,Receitas
Despesa - Churrascaria Boi na Brasa (via cartão),303.33,Alimentação
Débito - Amazon (compra do mês),715.38,Compras
Consumo em Subway (compra do mês),841.56,Alimentação
Pagamento - Açougue Casa da Carne,562.22,Alimentação
Despesa - CPFL Energia (uso pessoal),4293.71,Moradia
PLR - Participação nos Lucros,4759.11,Receitas
Assinatura mensal - Google One (fatura do mês),385.95,Serviços
Pagamento de salário - Novembro,9108.84,Receitas
Pagamento de fatura - Restaurante Self-Service (uso pessoal),293.73,Alimentação
Pagamento de fatura - Rappi (compra à vista),213.88,Alimentação
Compra em Padaria e Confeitaria Doce Vida (unidade próxima),818.09,Alimentação
Consumo em Padaria Pão Quente (via cartão),797.35,Alimentação
Compra em Estacionamento Multipark (unidade próxima),94.92,Transporte
Serviço prestado - Padaria e Confeitaria Doce Vida (unidade próxima),397.29,Alimentação
Consumo em Correios (loja shopping),98.09,Serviços
Pagamento de salário - Dezembro,8634.24,Receitas
Renovação de assinatura - Oi (fatura do mês),80.54,Serviços
Depósito de salário,8946.96,Receitas
Consumo em Papelaria Central (pedido via app),2901.28,Educação
Despesa - iFood (uso pessoal),372.73,Alimentação
Dividendos - Ações B3,2854.51,Receitas
Serviço prestado - Restaurante Self-Service (unidade centro),252.37,Alimentação
Pagamento de fatura - Oficina Mecânica Silva (loja shopping),314.49,Transporte
Pagamento de fatura - InDriver (via cartão),70.03,Transporte
Despesa - Sympla - Evento (compra à vista),1442.78,Lazer
Pagamento - Consultório Dentário Dr. Souza (pedido via app),1103.29,Saúde
Consumo em Açougue Boi Gordo (pedido via app),780.48,Alimentação
Despesa - Bob's (compra do mês),745.19,Alimentação
Compra em Ônibus Urbano,77.4,Transporte
Débito - Fundo Imobiliário - Aporte (via cartão),791.0,Investimentos
Transação - QuintoAndar - Aluguel (via cartão),370.73,Moradia
Pagamento - AliExpress (loja shopping),622.17,Compras
Serviço prestado - Starbucks (unidade centro),575.0,Alimentação
Transação - QuintoAndar - Aluguel (via cartão),2976.85,Moradia
Transação - Alura (parcelado em 3x),2709.33,Educação
Pagamento de conta - Kabum (compra do mês),269.75,Compras
Pagamento - Ultragaz (unidade centro),2269.33,Moradia
Pagamento de fatura - Uber (uso pessoal),67.79,Transporte
Pagamento de conta - Imposto de Renda - DARF (loja shopping),2145.07,Impostos
Transação - Uber Eats (compra à vista),818.16,Alimentação
Compra em Light (unidade centro),3447.43,Moradia
Pagamento - Renner (pedido via app),1265.7,Compras
Renovação de assinatura - TIM (renovação do plano),111.74,Serviços
Pagamento de salário - Maio,8900.32,Receitas
Compra online - AliExpress (compra à vista),434.0,Compras
Recebimento de dividendos,3865.57,Receitas
Rendimento de investimento - Tesouro Direto,2175.57,Receitas
Compra online - Açougue Central (loja shopping),189.09,Alimentação
Débito - Vivo Fibra (unidade centro),4562.71,Moradia
Consumo em Assaí (pedido via app),869.69,Alimentação
Transação - Hospital São Lucas,993.54,Saúde
Pagamento de conta - Hospital Veterinário Pet Care (uso pessoal),23.0,Pets
Compra online - Amazon (unidade próxima),1354.64,Compras
Débito automático - Bradesco Seguros (via cartão cadastrado),428.1,Serviços
Assinatura mensal - Faculdade Anhanguera (fatura do mês),1943.06,Educação
Transação - Padaria Pão Quente (unidade centro),472.43,Alimentação
Pagamento de conta - Correios (pedido via app),124.5,Serviços
Pagamento de fatura - Comgás (uso pessoal),693.86,Moradia
Despesa - Churrascaria Boi na Brasa (compra do mês),333.61,Alimentação
Pagamento - Americanas (uso pessoal),289.72,Compras
Compra em Kinoplex (loja shopping),605.99,Lazer
Débito - Salão de Beleza Charme (uso pessoal),306.18,Serviços
Consumo em Farmácia São João (uso pessoal),1206.2,Saúde
Pagamento de conta - Fast Shop (loja shopping),718.98,Compras
Transação - iFood (compra à vista),101.47,Alimentação
Débito - Auto Center Roda Viva (unidade próxima),197.24,Transporte
Compra online - Mercado Livre (loja shopping),272.11,Compras
Pagamento - Hospital Veterinário Pet Care (loja shopping),254.31,Pets
